"","Date","Open","High","Low","Close","WAP","No. of Shares","No. of Trades","Total Turnover","Deliverable Quantity","% Deli. Qty to Traded Qty","Spread H-L","Spread C-O","securityname"
"1",2018-11-16,1293.55,1326.05,1292.35,1320.55,1314.71,9868,609,12973596,6221,63.04,33.7,27,"ABB India Limited"
"2",2018-11-15,1298.05,1311,1286.05,1292.35,1296.46,3859,530,5003022,1165,30.19,24.95,-5.7,"ABB India Limited"
"3",2018-11-14,1295.2,1315,1279.15,1285.95,1297.59,4521,537,5866417,1827,40.41,35.85,-9.25,"ABB India Limited"
"4",2018-11-13,1311.6,1320,1291.2,1294.2,1301.77,5491,545,7148034,1996,36.35,28.8,-17.4,"ABB India Limited"
"5",2018-11-12,1321.15,1322.4,1302.2,1309.15,1314.28,45006,483,59150616,42555,94.55,20.2,-12,"ABB India Limited"
"6",2018-11-09,1330,1330,1305.7,1313.15,1313.85,3052,493,4009883,1361,44.59,24.3,-16.85,"ABB India Limited"
"7",2018-11-07,1322.95,1333,1315,1329.5,1327.61,3774,255,5010396,2983,79.04,18,6.55,"ABB India Limited"
"8",2018-11-06,1313,1331.25,1300.1,1305.3,1315.77,16673,1100,21937896,2292,13.75,31.15,-7.7,"ABB India Limited"
"9",2018-11-05,1325,1334.9,1302,1310.8,1312.82,9567,725,12559747,5279,55.18,32.9,-14.2,"ABB India Limited"
"10",2018-11-02,1340,1413,1311,1314.35,1306.13,12585008,2382,16437623053,12552409,99.74,102,-25.65,"ABB India Limited"
"11",2018-11-01,1299.1,1367,1283.6,1318.75,1325.7,63244,1992,83842749,45421,71.82,83.4,19.65,"ABB India Limited"
"12",2018-10-31,1227.4,1289,1219.1,1280.05,1270.04,72319,2543,91848169,49865,68.95,69.9,52.65,"ABB India Limited"
"13",2018-10-30,1240,1261,1191,1209.25,1224.8,31541,2651,38631346,8395,26.62,70,-30.75,"ABB India Limited"
"14",2018-10-29,1239.9,1252.7,1223.85,1232.95,1233.81,15189,646,18740283,2841,18.7,28.85,-6.95,"ABB India Limited"
"15",2018-10-26,1210,1257,1210,1235.2,1244.81,9485,625,11807044,4827,50.89,47,25.2,"ABB India Limited"
"16",2018-10-25,1230.05,1232.75,1205.15,1217.9,1217.7,10892,529,13263234,2371,21.77,27.6,-12.15,"ABB India Limited"
"17",2018-10-24,1254.3,1259.95,1228,1243.85,1240.87,3180,301,3945952,1666,52.39,31.95,-10.45,"ABB India Limited"
"18",2018-10-23,1246.55,1300,1224,1244.85,1243.76,9275,1026,11535856,3145,33.91,76,-1.7,"ABB India Limited"
"19",2018-10-22,1272.3,1282.5,1242,1248.3,1266.93,10994,507,13928630,1471,13.38,40.5,-24,"ABB India Limited"
"20",2018-10-19,1280,1297.25,1268,1273.3,1281.02,6148,621,7875737,1818,29.57,29.25,-6.7,"ABB India Limited"
"21",2018-10-17,1310.25,1310.25,1277.05,1284,1293.86,8088,582,10464736,3367,41.63,33.2,-26.25,"ABB India Limited"
"22",2018-10-16,1292,1309.5,1285.3,1300.05,1299.05,5832,467,7576077,2095,35.92,24.2,8.05,"ABB India Limited"
"23",2018-10-15,1340,1340,1287,1290.9,1295.22,5850,576,7577009,2199,37.59,53,-49.1,"ABB India Limited"
"24",2018-10-12,1298.95,1331.8,1298.95,1308,1315.25,8016,697,10543064,1787,22.29,32.85,9.05,"ABB India Limited"
"25",2018-10-11,1330,1330,1280,1291.35,1304.43,13274,948,17314996,5036,37.94,50,-38.65,"ABB India Limited"
"26",2018-10-10,1364.55,1371.65,1338.05,1343.85,1357.21,7955,617,10796607,2728,34.29,33.6,-20.7,"ABB India Limited"
"27",2018-10-09,1387.7,1389.05,1343.75,1352.65,1363.5,6223,616,8485084,1743,28.01,45.3,-35.05,"ABB India Limited"
"28",2018-10-08,1370,1399,1337.45,1377.2,1369.53,10940,1040,14982644,2355,21.53,61.55,7.2,"ABB India Limited"
"29",2018-10-05,1390,1391.6,1315.3,1368,1356.15,16705,1244,22654442,3428,20.52,76.3,-22,"ABB India Limited"
"30",2018-10-04,1404,1420,1380,1388.75,1396.04,7330,616,10233007,2977,40.61,40,-15.25,"ABB India Limited"
"31",2018-10-03,1420,1463,1403,1420.3,1433.39,12511,1112,17933139,1852,14.8,60,0.3,"ABB India Limited"
"32",2018-10-01,1410.75,1440,1372.4,1418.55,1399.81,10272,1119,14378879,1416,13.79,67.6,7.8,"ABB India Limited"
"33",2018-09-28,1420,1427.85,1358,1402.55,1398.44,8975,927,12551015,1251,13.94,69.85,-17.45,"ABB India Limited"
"34",2018-09-27,1442.1,1450.65,1389.6,1419.9,1415.26,21040,1268,29777070,2200,10.46,61.05,-22.2,"ABB India Limited"
"35",2018-09-26,1438,1469.05,1425,1439.6,1450.68,13422,968,19470992,4449,33.15,44.05,1.6,"ABB India Limited"
"36",2018-09-25,1401,1452,1346.6,1424.6,1384.23,27198,1666,37648190,2641,9.71,105.4,23.6,"ABB India Limited"
"37",2018-09-24,1443.9,1443.9,1351,1386.7,1392.02,12722,1101,17709265,2015,15.84,92.9,-57.2,"ABB India Limited"
"38",2018-09-21,1440,1459,1332,1433.95,1410.77,15451,1460,21797772,2506,16.22,127,-6.05,"ABB India Limited"
"39",2018-09-19,1459,1471,1371.45,1436.5,1432.87,21419,1755,30690663,2683,12.53,99.55,-22.5,"ABB India Limited"
"40",2018-09-18,1445.35,1460,1431.05,1441.3,1441.83,8734,774,12592956,2631,30.12,28.95,-4.05,"ABB India Limited"
"41",2018-09-17,1448,1451.6,1426.4,1444.65,1439.89,12906,1377,18583176,3083,23.89,25.2,-3.35,"ABB India Limited"
